X,Y,L
-174356.87180270767,743883.7902857428,n542
-174379.70774291974,743879.771404643,n543
-174313.76975197782,743945.3828540976,n544
-174310.9035607372,743945.7106050928,n545
-174310.45752758472,743989.6439915941,n546
-174406.4103012542,744183.4370074307,n547
-174356.00396074698,744573.8695295256,n548
-174459.87574022918,744662.1344964983,n549
-174431.8213452399,744645.6162436078,n550
-174430.94793450803,744648.309617341,n551
-174442.7800307134,744660.4686990525,n552
-174439.80418363257,744649.3894372634,n553
-174334.81932846567,744480.1959875106,n554
-174394.46807953966,744526.9502866962,n555
-174582.7295871303,744710.6893755755,n556
-174290.3102772339,744448.9652941659,n557
-174260.5275071613,744447.6173000269,n558
-174221.67291891153,744461.590876773,n559
-174226.3741160426,744461.2068503132,n560
-174168.5041160989,744551.5868222283,n561
-174081.14738362908,744607.0502311082,n562
-174081.32246785684,744601.8801601199,n563
-174143.3666456566,744641.3117961921,n564
-174141.41536729285,744681.494212563,n565
-174153.25637277914,744713.6649892566,n566
-174159.04679640694,744712.7697229307,n567
-174130.6186848006,744698.2183159915,n568
-174154.52183449094,744693.5234711112,n569
-174130.9927558551,744701.5150823019,n570
-174461.20357825357,744599.2679477377,n571
-174456.61627894672,744600.1788120785,n572
-174604.4443413309,744604.5651060987,n573
-174605.11851331,744494.1906779406,n574
-174605.42122406937,744495.5281527732,n575
-174417.89203474653,744738.7058743824,n576
-174418.7860573835,744754.6046940675,n577
-174413.5207225114,744755.1570011344,n578
-174413.81162593604,744761.1098731006,n579
-174270.80972363128,744762.5500462571,n580
-174409.2082664953,744631.5588211643,n581
-174544.77009253774,744613.803403853,n582
-174156.217054553,744783.3895294949,n583
-174159.8770819063,744783.0276024902,n584
-174340.6480520465,744478.8806956162,n585
-174532.31993407055,744044.24009085,n586
-174581.8284453862,744076.587015644,n587
-174322.03750477204,743768.632031616,n588
-174354.0656568924,744574.01341204,n589
-174307.09423723884,743946.1462036863,n590
-174665.24023555598,744442.6050379344,n591
-174676.6928128087,744501.2844365945,n592
-174606.19651209685,744604.372258819,n593
-174454.32632115952,744600.6335110273,n594
-174437.4361028095,744628.3017716699,n595
-174356.3006164459,744612.8151020323,n596
-174344.06569809082,744672.2173585267,n597
-174346.59979311225,744668.7423838727,n598
-174387.091597511,744533.4536796442,n599
-174395.12870169664,744532.2310440431,n600
-174428.17129564958,744544.9701420976,n601
-174438.5116956083,744543.2312853559,n602
-174489.5940982103,744535.1563122331,n603
-174477.25263320195,744536.7165341947,n604
-174469.81609395877,744537.9670793235,n605
-174179.5277365798,744486.4611185727,n606
-174176.8925888287,744504.8472760024,n607
-174211.87797936721,744509.3147558122,n608
-174211.218779533,744503.3197253702,n609
-174210.7327734833,744497.6541292241,n610
-174210.5643061544,744495.6902282548,n611
-174165.66046037117,744552.6734403763,n612
-174150.5885696876,744535.452004843,n613
-174235.0245711565,744507.4719918261,n614
-174246.15299581704,744558.2335441075,n615
-174247.54589464268,744574.6812231462,n616
-174264.8304064106,744573.3966935801,n617
-174263.5100876084,744573.76739473,n618
-174262.9009141599,744573.8677653004,n619
-174226.26255086804,744599.765641798,n620
-174269.6259384782,744657.3936241214,n621
-174251.38496826697,744660.8576751479,n622
-174231.9055658721,744651.7849080393,n623
-174245.77735184896,744661.9208822888,n624
-174220.10232316563,744646.8519323288,n625
-174246.94484097595,744661.7008764225,n626
-174276.38779179464,744671.5887450768,n627
-174275.1009359573,744702.4900088987,n628
-174204.70809172266,744640.6138377464,n629
-174195.20920578623,744635.4826995707,n630
-174185.58665276767,744631.9556489155,n631
-174160.55346647813,744634.6813388393,n632
-174150.69013027244,744635.9852358208,n633
-174145.49743877896,744621.341589237,n634
-174149.72141907693,744633.2534225225,n635
-174140.80962899336,744642.5696987004,n636
-174206.13503146984,744671.8897034546,n637
-174214.53005394986,744673.5254970649,n638
-174138.48142434837,744682.3719287531,n639
-174131.3398583615,744704.5741693199,n640
-174187.00283655274,744634.9512836764,n641
-174183.2121900495,744635.6552592864,n642
-174174.55061326397,744636.3109038254,n643
-174172.51471335057,744638.4842489241,n644
-174170.2018957932,744642.8360957538,n645
-174170.36950181684,744643.3643896308,n646
-174172.7510443625,744650.3349599767,n647
-174173.56193911727,744654.0128792869,n648
-174166.9339098933,744644.1675163237,n649
-174165.76593287935,744644.4405503018,n650
-174247.42020643453,744838.7583700796,n651
-174246.60836511027,744838.7559905875,n652
-174221.9471046899,744815.8433949978,n653
-174216.79677709576,744818.8248634398,n654
-174212.45047598,744822.317338591,n655
-174359.64180467537,744788.1221139812,n656
-174367.26640124535,744845.1113609564,n657
-174383.20630251258,744851.1190538162,n658
-174399.84356349416,744857.9767632746,n659
-174418.46120948295,744856.3126764654,n660
-174540.59447853192,744789.02133497,n661
-174502.87798071175,744888.7770201947,n662
-174430.25297659662,744941.2087737367,n663
-174410.22143866547,744918.785539555,n664
-174436.7594767988,744943.0629313178,n665
-174438.51709357093,744943.5448053301,n666
-174141.37013209716,744905.8259980951,n667
-174142.555672089,744901.3160679351,n668
-174146.97826190994,744884.4920224635,n669
-174143.2989806667,744866.2134326336,n670
-174165.73928591798,744911.3482783746,n671
-174166.15879189715,744894.0008943034,n672
-174154.16100901633,744911.5731919155,n673
-174148.7757253259,744911.6778027724,n674
-174163.11272310096,744932.5351064918,n675
-174163.36094266915,744986.2127779097,n676
-174159.3893720005,744985.6833993851,n677
-174159.08168023097,744985.4001671458,n678
-174158.64715369183,744985.0001826854,n679
-174158.242809134,744984.4541649604,n680
-174176.6289907586,745031.8585831748,n681
